english term	urdu equivalent	suggestions only
data points, numerical data points	موادی نقاط، اعدادی  موادی نقاط	
David, David Scott	داؤد، داؤد سکاٹ	
DC current, DC voltage	یک سمت رو، یک سمت برقی دباؤ	
DC parallel connected self excited generator	یک سمتی متوازی جُڑی خُود ہیجان جنریٹر	یک سمتی متوازی جُڑی خُود ہیجان برق زا
DC self excited compound generator	یک سمت خُود ہیجان مرکب جنریٹر	یک سمت خُود ہیجان مرکب برق زا
DC separately excited generator	یک سمتی بیرونی ہیجان جنریٹر	یک سمتی بیرونی ہیجان برق زا
DC series connected self excited generator	یک سمت سلسلہ وار جُڑی خُود ہیجان جنریٹر	یک سمت سلسلہ وار جُڑی خُود ہیجان برق زا
Deca; deca meter	ڈیکا	
decay	تنزل	
decay: radioactive decay	تابکاری تحلیل	
decoder	شناخت کار	
decimal: 3D accuracy	تین اعشاریہ درست	
decimal number	اعشاری عدد، عشری عدد	
decimal point	نقطہ اعشاریہ	
declare (a function in wxmaxima)	قرار دینا	
decreasing: nondecreasing sequence	غیر گھٹتا تسلسل	
decrement, increment	بڑھوتری، کٹوتی	
defect (in maths eigenvalues)	خامی	retain two separate words for defect and defective
defective, non defective (statistics)	عیب دار، بے عیب	
define, definition	تعریف، متعارف، تعریف پیش کرنا	
defined: derivative may be defined on an interval	تفرق معین ہو سکتا ہے	
defined on an interval (means that it has a value)	معین	
definition: by definition	تعریف کی رو سے	
defined: well defined	پوری طرح معین	
defining rule, defining function	تعریفی قاعدہ، تعریفی تفاعل	
deform, deformed, mutilate, distort	مسخ کرنا، مسخ شدہ	
degenerate, degeneration	انحطاطی، انحطاط	
degree, quartic	درجہ، چو درجی	 
Delta connected, star connected (Y-connected)	تکونی جُڑے یا تکون نما جُڑے، ستارا نما جُڑے	
deltoid	مثلثی	
de Moivre theorem	مسئلہ ڈی موے ور	
de Morgan laws	قانون ڈی مارگن	
demand matrix	قالب مانگ	
Demonstrative (matric)	اثباتی	
demultiplexer	خارجی منتخب کار	
denominator	نسب نما	
dense	کثیف	
density	کسی متغیرہ کی اکائی سطح پر قل مقدار کو اس متغیرہ کی کثافت کہتے ہیں	
density, mean density,surface & volume density	کثافت،درمیانی کثافت، سطحی اور حجمی کثافت	
dependence, independence	تابعیت، غیر تابعیت	
dependent and independent set	غیر تابع سلسلہ	غیر تابع مجموع
dependent, independent variables	تابع اور آزاد متغیرہ	
dependent and independent voltage source	تابع اور غیر تابع منبع دباو	
dependent: independently goes to zero	غیر مختارانہ طور پر صفر کو پہنچتا ہو	
dependent: path independence	راہ سے آزادی	راہ سے بے نیاز
depends	منحصر	
deposit	چڑھانا	
derivation	اشتقاق، اشتقاقایت، اشتقاقاً، استنباط، استخراج	اشتقاق کا مطلب ہے شق حاصل کرنا
derivative, (differential)	تفرق (تفریقی، تفریق)	 
derive	اخذ کرنا	
design, designed, design voltage	بناوٹ، بنائی گئی ہو، تخلیق، بناوٹی دباو	
design voltage, current, frequency	بناوٹی دباو، رو،تعدد	
designer	تخلیق کار	
Determinant  (symbol=D or |A| )	مقطع، مقطع قالب (میٹرک کتاب)	
determinant: characteristic determinant of A matrix	امتیازی مقطع	
determinate, indeterminate	قابل معلوم، نا قابل معلوم	
determine	تعین کرنا، طے کرنا	
determined upto multiples of 2	دو کی مضرب تک تعین کی جا سکتی ہے	
develop	تیار	
diagonal, main diagonal	وتر، مرکزی وتر	
diagram	شکل	
diameter	قطر	
dianion	دوہرا منفی بارداریہ	
dication	دوہرا مثبت بارداریہ	
Die, dice (ludo game), roll a die	پانسہ (لوڈو کھیل)، پانسہ پھینکنا	
dice: fair	منصفانہ پانسہ	
dielectric	ذوبرق	
diffraction, diffraction grating	انکسار امواج، انکساری جالی	
difference	فرق	
difference equation, calculus of differences	مساوات فرق، احصاء فرقیات	
Differences: finite differences	متناہی فرق	
differences: first, second, third	پہلا فرق، دوسرا فرق، تیسرا فرق، چوتھا فرق	فرق اول، فرق دوم، فرق سوم، فرق چہارم
difference: central difference	وسطی فرق	
difference: forward difference	آگے فرق	
difference:backward difference	پپیچھے فرق	
difference: divided difference	منقسم فرق	
difference quotient	تفریقی حاصل تقسیم	فرقی حاصل تقسیم
differential  (Δf=f(x0+h)-f(x0)), whereas differential equation remains    تفرقی مساوات	تفریق	تفرقی (is more consistent)
differential calculus	احصاء تفرقیات	
differential mode signal	تفرقی اشارہ	
differential equation, partial differential equation	تفرقی مساوات، جُزوی تفرقی مساوات	
differential form:exact differential	قطعی تفرقی روپ	 
differential form: first order differential form	ایک رتبی تفرقی روپ، یک رتبی تفرقی روپ	 
differential operator	تفرقی عامل	 
differential, partial differential	تفرق، جُزوی تفرق	
differentiate	تفریق کرنا	تفرق لینا
differentiability	تفرق پذیری	
differentiable: single, double, triple, infinitely	ایک گنا، دو گنا، تین گنا قابل تفرق، لامتناہی گنّا قابل تفرق	
differentiation, partial differentiation	تفریق، جُزوی تفریق	
diffusion, diffusion current	نفوذ، نفوذی برقی رو	
digit	ہندسہ	
digital form: digitize	عددی صورت: عددی صورت دینا	
dilution	رقت	
dimension	بُعد	
dimension	طرف، تین طرفہ	
dimension, dimensional	بُعد،ابعاد: ایک مخسوس سمت میں ناپی گئی وسعت	
dimensional: two dimensional	دو ابعاد، دو ابعادی	
dimensional: three dimensional	ابعاد ثلاثہ والا	
dimensional:three dimensional plot	تین بعدی ترسیم، سہ ابعادی ترسیم	
dimple	ٹویا، ٹوئے	
dipole, dipole moment	جفت قطب، جفت قطب کا معیار اثر	
dipole antenna	جفت قطبی اینٹینا	
Dirac: Paul Adrien Maurice Dirac	پال اڈرین مارث ڈیراک	
Dirac delta function	ڈائی رک ڈیلٹائی تفاعل	
direct method	بلا واسطہ ترکیب	
direct current  DC	راست رُو، یک سمت رُو	 
direct reception (antenna)	سیدھی رسائی، سیدھی وصولی	
directed line	سمت بند خط	
direction	رخ	
direction cosines, direction angles	کوسائن رخ، زاویات رخ	
direction field (maths)	میدان سمت یا میدان ڈھال	
direction:positive direction (another name for positive sense of a curve)	مثبت سمت	
directional derivative	رخی تفرق	
directivity (antenna)	سمتیت	
directly proportional, inversely proportional	راست متناسب، بالعکس متناسب	
directrix	ناظمہ	
Dirichlet's discontinuous factor; Johann Peter Gustav Lejeune Dirichlet	ڈرشلے غیر استمراری جزو؛ یوہان پیٹر گستاف لیژون ڈرشلے	
disadvantage	قباحت، عیب	
discharge، charge a capacitor	بار بھرنا، بار کا نکاس	
disconnect	منقطع	
discontinuous	جوڑ دار	غیر استمراری
discontinuity	عدم تسلسل	عدم استمرار
discontinuity: removable,non-removable, jump, infinite	قابل ہٹاو عدم استمرار، نا قابل ہٹاو عدم استمرار، چھلانگ، لا متناہی	
discount	قیمت میں چھوٹ	
discrete	انفرادی، الگ الگ ٹرانزسٹر	غیر مسلسل (میٹرک کتاب)
discrete and continuous variables (from matric book)	غیر مسلسل اوراستمراری متغیر	
discriminant (indian matric maths)	ممیز	 
disjoint event	بے ربط وقوعہ	
disk, circular disk, disks	قرص، دائری قرص، اقراص	
displacement	ہٹاو	
displacement current	انتقالی رو	
displacement vector	ہٹاو سمتیہ	
Dispersion (waves) (matric book)	انتشار، اثر انتشار، منتشر ہونا	
dispersion parameter	انتشاری مستقل	
distilled water	مقطر پانی	
distinguish	وضاحت کرنا، تمیز کرنا	
distorted	بگڑی شکل، مسخ شدہ	
distribution:binomial, poisson, multinomial, normal	تقسیم:ثنائی، پوئسن، متعدد رکنی، عمومی	
distribution: charge distribution	تقسیم بار	
distributed winding	تقسیم شدہ اور غیر تقسیم شدہ لچھے	
distributive law	قانون تقسیم، جزئیتی تقسیم	
distributive law [maths a(b+c)=ab+ac]	قانون جزئیتی تقسیم	
distributor	تقسیم کار	
distribution board	تقسیم کار تختہ	
disturbance	خلل	
diver: skydiver	فضائی غوطہ باز	
divergence, divergent	انفراج، منفرج	
divergence theorem	مسئلہ پھیلاو	
divergent (series), convergent series	منفرج تسلسل، مرکوز تسلسل	
dividend (maths: the number being divided)	مقسوم	
diving board	تختہ غوطہ	
divisor (maths: the number that divides)	قاسم	تقسیم کنندہ matric
DNA	ڈی این اے	
domain: frequency domain, time domain (laplace transform)	دائرہ کار: وقتی دائرہ کار، تعددی دائرہ کار	
Domain (t=0:3)	میدان عمل	دائرہ کار
domain: natural domain	قدرتی دائرہ کار	
dome	گنبد	
dominant, recessive gene	غالب، مغلوب جین	
dominant  (dominant TE11 mode)	غالب	
domination	غلبہ	
don't care states	غیر استعمال شدہ حالات	
dopant	ملاوٹ	
dot graph	نقطہ ترسیم	
dot product, scalar product	ضربِ نکتہ، مقداری ضرب، غیر سمتی ضرب	
double integral	دوہرا تکمل	
double: double root	دوہرا: دوہرا جذر	
drift	بہاو برقی رو	
drift velocity	رفتار بہاو	
driving force	متحرک قوت	
driving function: (forcing function)	جبری تفاعل	
Duffing equation	ڈفنگ مساوات	
dummy variable (of integration)	نقلی متغیر	
duty cycle	فعال عرصہ	
dye	رنگ	
dynamics, hydrodynamics	حرکیات، ماقوا حرکیات	
dynamic procedure	متحرک حکمت عملی	
Each:: each point	ہر ایک؛ ہر ایک نقطہ، ایک ایک نقطہ	
early, earlier, earlier definition	وہ تعریف جو ہم پہلے پیش کر چکے ہیں	
earth epicenter	مرکز زلزلہ	
easy axis	آسان محور، آسان سمت، نرم محور، نرم سمت	
eccentricity, (eccentric)	سنک، (سنکی)	
ecg	برقی قلب نگار	
echelon form (matrix), reduced echelon form	زینہ دار، سادہ زینہ دار صورت	
echelon: row echelon form	صف زینہ دار	
economist	ماہر اقتصادیات	
economy	معیشت	
eddy currents	بھنور نما رو	
edge	کنارہ، دھار	
Edward Goursat	ایڈورڈ گرسا	
Edward Lowry Norton: norton theorem	ایڈورڈ لوری نارٹن	
effective current	موثر رو	
effective aperture (antenna)	اخراجی رقبہ	
efficiency	کارگزاری	
efficient	موثر	
Eigenvalues, Eigenvectors, Eigenspace	آئگنی قدر، آئگنی سمتیات، آئگنی اقدار،  آئگنی فضا	امتیازی اقدار
Einstein: theory of relativity: Albert Einstein	آئن سٹائن: نظریہ اضافت: البرت آئن شٹائن	
elasticity: Young's modulus of elasticity	ینگ کا مقیاس لچک	
electric circuit	برقی دور	
electric current	برقی رو	
electric flux	برقی بہاو	 
electric power	برقی طاقت	
electric supply	برقی بھم رسانی	
electricity	برق	matric
electrode	برقیرہ	
electrolysis	برق پاشی	
electron, proton, neutron	پروٹان، الیکٹران، نیوٹران	 
electronics analog	تناسبی برقیات	
electromagnetic waves	برقی مقناطیسی امواج	
electromagnetism	برقناطیسیت	
electromagnetically	برقی مقناطیسیت کے ذریعہ	
electrostatics, magnetostatics	برقی سکون، مقناطیسی سکون، برقی سکونیات	
electrostatic potential	برقی ساکن مخفی قوہ	
element	رکن	
element of area (maths)	رکن رقبہ	
elementary function (maths), non elementary	بنیادی تفاعل، غیر بنیادی تفاعل	
elimination	اسقاط	
elimination: gauss elimination method	رکیب گاوسی اسقاط	
elliptic integral, elliptic polarization of waves, elliptic polarized	بیضوی تکملہ، بیضوی تقطیب موج، بیضوی قطبی	
ellipse (maths)	ترخیم	
ellipsoid	ترخیمی سطح	
elusive, non elusive	مبہم، غیر مبہم، ابہام	
email	برقیاتی پتہ، برقیاتی رابطہ	
emf	محرک برقی دباؤ: شروع میں بروی طاقت حرکت سے ہی پیدا ہوتی تھی جس سے اس کا نام محرک برقی دباؤ پڑا	
emitter follower	تابع مخارج	
empirical relation	تجربی رشتہ	
empty, non empty	خالی، غیر خالی	
enable, disable	مجاز کرنا، معذور کرنا	
enamel	روغن	
enclosed	ملفوف، لف شدہ	
end effects	سروں کے اثرات	
energize	طاقت مہیا کرنا	
energy, co-energy	توانائی، ہم توانائی	
energy: carrier of energy	انتقالِ توانائی	
energy loss	ضیاع توانائی	
engine	انجن	
engineer	معمار	مہندس
engineering	انجینئری	
entire function	سالم تفاعل	
entry (matrix a_11 etc)	اندراجات	
envelope (of AM signal)	غلاف	
environment	ماحول	
epicycloid	بر تدویر	
equation	مساوات	
equation: point-slope and slope-intercept equations	نقطہ-ڈھلوان اور ڈھلوان-قطع مساوات	
Equate, equating two equations	ان مساوات کو مساوی رکھتے ہوئے، برابر رکھتے ہوئے	
equator	ارضی خط استوا	خط استوا
equatorial plane	استوائی مستوی	
equidistant	ہم فاصلہ	
equilateral triangle	متساوی الاضلاع مثلث	
equilibrium: stable equilibrium	مستحکم توازن	
equilibrium state	متوازن حال، صورت	
equipotential surface, line	ہم قوہ سطح، خط	
equivalent	معادل	
equivalent weight, function	معادل وزن، تفاعل معادل	
equivalent, equivalently	مساوی، مترادف، برابر، مساوی طور پر	
Ernest Rutherford	ارنسٹ ردرفورڈ	
error	خلل	سہو ؟؟
error analysis	تجزیہ خلل	
error bound	حد خلل	
error: building-up error	اجتماع خلل	
error function	تفاعل خلل	
error function: complementary error function	متمم تفاعل خلل	
error estimation	اندازہ خلل	
error: experimental error	تجربی خلل	
error:truncation error	قطع چال خلل	حذفی خلل
error: rounding error	پور و پور خلل	تعداد ہندسہ خلل
error:rounding up, rounding down	اوپر پورا کرنا، نیچے پورا کرنا، اپور پور و پور، نیچے پور و پور	
escape velocity	گریزی رفتار	
escribed circle (matric)	جانبی دائرہ	
essential	لازمی	
estimate, estimation	اندازہ لگانا، اندازاً قیمت	تخمینہ
estimate: interval estimate, confidence interval	وقفہ اندازہ، وقفہ اعتماد	
estimate: maximum likelihood method	زیدہ سے زیادہ امکان کی ترکیب	
estimate: maximum likelihood estimates	زیادہ سے زیادہ امکانی  اندازے	
estimate: point estimate, interval estimate	نقطی اندازہ، وقفی اندازہ	
Euclidean space	اقلیدسی فضا	
Euler's identity	یولر مماثل	
Euler: Leonhard Euler	لیون آرڈ یولر	even though it is pronounced oiler, I am retaining the urdu name as currently used
europe	یورپ	
evaluate	قیمت تلاش کرنا	قیمت تلاش کرنا
evaluation	تخمینہ	قدر پیمائی، قیمت کا اندازہ لگانا
evanescent wave (in  lighter medium during total internal reflection)	فنا پذیر موج	
even	جفت	matric
event: disjoint; mutually exclusive	بے ربط؛ باہمی بلا شرکت	
event, events, elementary event	وقوعہ، بنیادی وقوعہ	matric
event: empty, impossible	خالی وقوعہ، نا ممکن وقوعہ، وقوعات	
event: independent events	غیر تابع وقوعات	
event: subevent	ذیلی وقوعہ	
even function symmetry	جفت تفاعل تشاکل	
Evert Johannes Nystrom	ایورٹ جوہانس نیستروم	
Everett formula (interpolation)	کلیہ ایورٹ	
exact; exactly 5	بالکل درست، ٹھیک؛ ٹھیک پانچ	
excitation current	ہیجان انگیز برقی رو	
excitation table (DLD)	ہیجان انگیز جدول	
excitation voltage	 ہیجان انگیز برقی دباؤ	
excite: to excite	ہیجان پیدا کرنا	
excited	ہیجان شدہ	
exciter	ہیجان انگیز	
existence of solution	وجودیت	
expansion	اتساع، توسیع	
expansion and contraction	سکڑاو اور پھیلاو	
expectation: mathematical expectation	حسابی  توقع	
expectation value, expectation	قیمت توقع، توقع	
expected	متوقع	
explicit function	صریح تفاعل	
explicitly	صریحاً	
exponent	قوت نما	
exponential decay	قوت نمائی انحطاط	
exponential function	قوت نمائی تفاعل	
exponential Fourier series	قوت نمائی فوریئر تسلسل	
expression: mathematical expression	ترکیب، کلیہ، تعلق	بیان ریاضی
Extended function, (extension of function)	وسیع تفاعل، (تفاعل کی توسیع)	
extended complex plane	مبسوط مخلوط سطح	مبسوط مخلوط  مستوی
extended power series method	مبسوط طاقتی تسلسل	
extension (of idea)	توسیع، توسیعی حالت	
external, internal	بیرونی، اندرونی	
extrapolate, (extrapolation)	غیر باہمی تحریف	(ورائی ادراج)، ورائی ادراج کریں
extrema, local extrema, absolute extrema	انتہا، مقامی انتہا، مطلق انتہا	
extreme position, values	انتہائی مقام،انتہا مقام، انتہا قیمتیں	
factor	جُزو ضربی: اِن اعداد میں سے ایک عدد جنھیں آپس میں ضرب دینے سے کوئی خاص عدد حاصل ہوتا ہے	
factor: winding factor, power factor, power factor angle	لچھے کا جُزو ضربی، طاقت کا جُزو ضربی، طاقت کے جُزو ضربی کا زاویہ	
factorization	تجزی؛ بذریعہ تجزی	
factorial	عدد ضربیہ	
fabrication industry	اختراعی صنعت	
Fabry-Perot interferometer	فیبری-پیروٹ طیف پیما	
Fabry-Perot: free spectral range	طیفی حد	
factors	اجزائے ضربی	
factorization	تجزی	
failure (of system)	ناکامی	
fall time, rise time	دورانیہ اترائی، دورانیہ چڑھائی	
family of curves	خطوط کی نسل	
Farad, Michael Faraday	فیراڈ، مائکل فیراڈے	
faraday shield; shielded wire	فیراڈے پناہ گاہ، پناہ دار تار	
fault	نقص	
faulty, working	غیر فعال، فعال	
features	پہلو	
feedback system, feedback circuit	واپسی دور، واپسی نظام	
feedback signal	واپسی اشارہ، واپسی خبر، خارجی خبر	
feedback positive, negative	مثبت واپسی ایمپلیفائر، منفی واپسی ایمپلیفائر	
femto	فیمٹو	
Frermat's difference quotient	فرمٹ تفریقی حاصل تقسیم	فرمنت حاصل تقسیم فرق
ferrite	فیرائٹ	
ferroelectric	برقی چال	
ferromagnetic	فولادی مقناطیسی اشیاء	
Fibonacci numbers	فبونیکی اعداد	
Field: magnetic field	حلقہ عمل: وہ علاقہ یا جگہ جس میں کسی قوت کا اثر محسوس کیا جائے	مذکر
field, armature	میدان، قوی لچھا  ؟؟	
field: direction field (maths)	میدان ڈھال یا میدان سمت	
field, static	ساکن میدان	
file: computer file	دستاویز	
filter, low pass, high pass, band pass, band stop	پٹی گزار چھلنی، پٹی روک چھلنی، پست گزار چھلنی اور بلند گزار چھلنی	
filter, low pass, high pass, band pass, band stop	پٹی گزار فلٹر، پٹی روک فلٹر،بلند گزار اور پست گزار فلٹر	
fine	باریک	
finite processes	متناہی چال	
finite sum	متناہی مجموعہ	
Finland	فن لینڈ	
fired	داغا	
fission	انشقاق	
first fundamental form (maths area)	بینادی صورت اول	
first order equation	یک رتبی	 
first order method (numerical methods)	رتبہ اول ترکیب	
fit, applicable	موزوں	
fit properly	ٹھیک بیٹھنا	
fixed	قطعی، معین	مقررہ، غیر تغیر پذیر، مستقل، مستحکم
fixed point (linear fractional transformation)	مقررہ نقطہ	
fixed point system (number representation)	مقررہ نقطہ نظام	
flange, flanged	کگر، کگردار	
flat surface	چپٹی سطح	میٹرک
fleming's left hand rule	فلیمنگ کا بائیں ہاتھ کا قانون: اس قانون کے مطابق اگر آپ اپنے بائیں ہاتھ کے انگوٹھے، پہلی انگلی اور درمیانی انگلی کو اس طرح پھیلاِئیں کہ تینوں ایک دوسرے کے ساتھ قائمہ زاویہ بنائیں اگر پہلی انگلی مقناطیسی میدان کا رُخ اور درمیانی انگلی برقی رو کا رُخ ظاہر کرے تو انگوٹھا موصل پر لگنے والی قوت کی سمت کو ظاہر کرتا ہے	
floating pin	غیر وابسطہ پنیا	
floating point system (number representation)	غیر مقررہ نقطہ نظام	
floor function	عدد صحیح زمین تفاعل، بڑا ترین عدد تفاعل	
flow chart	عملی خاکہ	
flow integral	تکمل بہاو	
fluctuation	اتار چڑھاو	
fluid, fluid mechanics	سیال، سیالی میکانیات	
fluid pressure	فشار سیال	
flux	بہاو	
flux linkage	اِرتَباطِ بہاو	
focal axis	محور ماسکہ	
focal length	طول ماسکہ	
focus	ماسکہ	
focus (at something)	مرکز نگاہ	
follow, follower	پیروی کرنا، پیرو کار	
for, if, then, else, stop	کے لئے، اگر، تب، ورنہ، روک	
force	قوت	
force: attractive force acts	قوتِ کشش عمل کرتا ہے	
force: attractive, repulsive	قوتِ کشش، قوتِ دفع	
forced vibration, forced motion	جبری ارتعاش، جبری حرکت	
forced response	جبری رد عمل	
forcing function: (differential equations)	جبری قوت	
form: form vector space	سمتی فضا پیدا کرنا	
formal, informal	با ضابطہ، غیر رسمی	
formalize	دستوری شکل دینا	
fossil fuel, fossil bones	حجریہ ایندھن، حجریہ ہڈی	
fourier: Jean Baptiste Joseph Fourier	ژاں باٹِیسٹ یوسف فوریئر	
fourier series, double fourier series	فوریئر تسلسل، دوہرا فوریئر تسلسل	
fourier series: exponential series, trignometric series	قوت نمائی فوریئر تسلسل، تکونیاتی فوریئر تسلسل	
fourier transform, inverse fourier transform	فوریئر بدل، الٹ فوریئر بدل	
FPGAs	جائے استعمال کر تشکیل کے قابل گیٹوں کے صف	
fractals (Benoit Mandelbrot)	گنج غیر ہموار منحنی (بنوا منڈلبرا)	
fraction, fractions	کسر، کسور	matric
fraction:fraction defective (stats)	تنسبت عیب دار	
freedom: degrees of freedom	درجہ آزادی	
freedom:number of degrees of freedom	درجہ آزادی کی تعداد	
free electron, charge	آزاد الیکٹران (برقیہ)، بار	
free spectral range (fabry-perot interferometer)	طیفی حد	
french	فرانسیسی	
frequency, angular	تعدد، زاویائی تعدد	
frequency dependent (circuit)	تعدد تابع	
frequency domain: laplace transform	تعددی دائرہ کار	
frequency, natural frequency	تعدادِ ارتعاش، قدرتی تعدادِ ارتعاش	
frequency: carrier frequency, modulating frequency	تعددِ سوار، تعددِ سواری	
frequency: cumulative	مجموعی تعدد	
frequency: relative frequency	اضافی تعدد	
frequency: cumulative relative frequency	مجموعی اضافی تعدد	
frequency: dot frequency diagram	تعددی نقطہ ترسیم	
frequency: bar chart	ڈبہ ترسیم	
frequency: frequency histogram	تعددی مستطیلی ترسیم	
frequency: frequency polygon	تعددی کثیر الااضلاع ترسیم	
frequent	کثرت سے پایا جانا	
Fresnel integrals  (Augustin-Jean Fresnel)	اگستن ژاں فرسنل، فرسنل تکملات	
fresnel integral; complementary fresnel integral	فرسنل تکمل؛ متمم فرسنل تکمل	
friction	رگڑ	
frictional loss	رگڑی ضیاع	
friction: mu=coefficient of kinetic friction	حرکی رگڑ کا مستقل	
Friis  (radar formula)	فرائس	
fringing	پھول جانا، پھولنا	
Frobenius: Ferdinand Georg Frobenius	فرڈینانڈ گیوگ فروبنیوس	
frustum	مخروط مقطوع	
full adder	جمع کرنے والا مکمل دور	
function: two variable function	دو متغیری تفاعل	
function boundary	تفاعلی سرحد	
function y(x)	تفاعل۔وائی ایکس کا تفاعل ہے	
fundamental	بنیادی	
fundamental mode (harmonics)	بنیادی انداز	
fuse	فتیلہ	
gabriel	جبرائیل	
gain, voltage gain, current gain, transconductance gain, transresistance gain	افزائش، افزائشِ برقی دباؤ، افزائش برقی رو، افزائش موصلیت-نما، افزائش مزاحمت-نما	
Gamma function; incomplete gamma function	گیما تفاعل، غیر مکمل گیما تفاعل	
gap, air gap	درز، خلائی درز	
Gauss: Johann Carl Friedrich Gauss	یوہان کارل فرڈرش گاوس	
Gauss's convergence theorem	گاوسی مسئلہ ارتکاز	
Gauss, Gaussian	گاوس، گاوسی	
gauss elimination method	گاوسی اسقاط	
gaussian	گاوسی	
Gauss-Jordan elimination (Wilhelm Jordan)	گاوس جارڈن اسقاط (ولہلم جارڈن)	
Geiger:Hans Geiger	ہانس گائیگر	
general: in general	عام طور پر	
general solution (differential equations)	عمومی حل	
generality: without loss of generality	عمومیت کھوئے بغیر	
generally, more generally	عمومی طور پر	
generalization, generalize	عمومیت، تعمیم،تعمیماً، تعمیمی	
generating function (that generates say Legendre's series)	پیداکار تفاعل	
generator	پیدا کار	برق زا
generic	کلی	
genetics	جینیات	
geostationary orbit, geosynchronous	ہم عصر مدار	
geology	ارضیات	
geometric mean, geometric series	ہندسی اوسط، ہندسی تسلسل	
geometric multiplicity	جیومیٹریائی کثرت	
geometry, geometrical	جیومیٹری، جیومیٹریائی	
Georg Cantor (german pronunciation)	گیورگ کانتور	
Gershgorin: Semyon Aronovich Gershgorin	سمیون ارانووچ گرشگرین	
Gibbs phenomenon; Josiah Willard Gibbs	مظہر گبس؛ جوشیا ولرڈ گبس	
giga byte	گیگا بائیٹ	
Girolamo Cardano	جرولامو کردانو	
glitch:positive glitch, negative glitch	مثبت برقی لرزش، منفی برقی لرزش	
global variable	عالمگیر متغیر	
glucose	گلوکوز	
golf	گالف	
Goodness: goodness of fit	عمدگی: عمدگی موافقت	
gradient	ڈھلوان	
gradient vector	سمتیہ ڈھلوان	
grainy nature	دانہ دار طبع	
graph paper	کاغذ ترسیم	
graph: to graph	ترسیم: ترسیم کرنا	
graphical analysis	ترسیمی تجزیہ	
graphing: computer graphing	کمپیوٹر ترسیم کشی	
gravitation	تجاذب	
gravitational force, constant (G)	تجاذبی قوت، تجاذبی مستقل	
gravity: center of	مرکز ثقل	
Gregor Johann Mendel	گرگر یوہان مینڈل	
Greek	یونانی	
Green's theorem (George Green)	مسئلہ گرین (جارج گرین)	
Green's first and second formulae	گرین کلیہ اول، گرین کلیہ دوم	
Green: first form of Green's theorem	مسئلہ گرین کی پہلی صورت، مسئلہ گرین کی دوسری صورت	
grid,  mesh	جال، خانے	
group velocity, phase velocity	دوری رفتار، مجموعی رفتار	دوری رفتار، گروہی رفتار
group delay (dispersion)	مجموعی تاخیر	گروہی تاخیر
group, grouping	گروہ، گروہ بندی	
growth rate	شرح نمو	
guarantee	ضمانت	
gyration, radius of gyration	دوار، حرکت دواری، رداس دوار	
H11 (hybrid parameters)	قصر دور داخلی رکاوٹ	
h12	کھلے سر الٹ افزائش دباو	
h21	قصر دور افزائش رو	
h22	کھلے سر خارجی فراوانی	
half adder	نصف جمع کرنے والا دور	
half life	نصف زندگی	نصف حیات
Half-wave matching (transmission lines)	نصف طول موج کی ترکیب، نصف طول موج سے ہم رکاؤت بنانا	
Hall effect	ہال اثر	
Halley comet	ہالی دم دار ستارہ	
Hankel functions; Hermann Hankel	ہینکل تفاعل؛ ہرمن ہینکل	
Hans Ferdinand Mayer: norton theorem	ہنس فرڈینانڈ میئر	
harmonic	ہارمونی، سمعیاتِ موسیقی	
HCF (highest common factor)	عاد اعظم	
heat capacity, specific heat capacity	مخصوص حراری استعداد	
heat conduction	ایصال حرارت	
heat convection	اتصال حرارت	
heat energy	حرارتی توانائی	
heat equation	حراری مساوات	
heat sink	سرد کار	
height (above sea level or ground)	ارتفاع، بلندی، اونچائی، قامت	
helical, spiral	پیچ دار	
helicopter	ہیلی کاپٹر	
helium	ہیلیم	
helix	پیچ دار	
Helmholtz vector equation (Herman Ludwig von Helmholtz)	ہرمن لڈوگ فرڈینانڈ ون ہلم ہولٹز	
Henry	ہینری	
Hermite polynomials	ہامائٹ کثیر رکنی	
Hermitian matrix; Charles Hermite	چارلس ہرمائٹ؛ ہرمشی قالب	
hertz: heinrich hertz	ہائنرک ہرٹز	
hexagon, hexagonal	مسدس، مسدسی	
high, highest, low lowest	بلند، بلند تر، کم، کم تر	
higher functions or special functions (maths)	اعلٰی تفاعل	
high impedance state	بلند رکاؤٹ حال	
higher mathematics	اعٰٰلی ریاضیات	
highest order (polynomial term)	اعضم درجہ	اعضم رتبہ
Hilbert space, David Hilbert	ہلبرٹ فضا، داؤد ہلبرٹ	
hint	اشارہ	
hold: equation or theorem holds 	کارآمد رہنا	
hollow	کھوکھلا	
homogeneous, non homogeneous	ہر طرف یکساں خاصیت، ہر طرف غیر یکساں خاصیت، یکساں خاصیت	
homogeneous equation, heterogeneous equation	متجانس مسوات، غیر متجانس مساوات	
Hooke's law; Robert Hooke	قانون ہک؛ روبرٹ ہک	
horizontal	اُفقی	
hot wire, live wire	گرم تار، زندہ تار	
hour	گھنٹہ	
humidity, relative humidity	رطُوبت، اضافی رطُوبت	
hunting	تعاقب کرنا	
Huygen's principle	اصول ہائی گن	
hydrogen	ہائیڈروجن	
hydronium (ion)	ہائیڈرونیم (برق پارہ)	
hyper	بر	
hypo	تحت، زیر، فلک	
hyperbola, hyperbolas	قطع زائد، قطعات زائد	
hyperbolic function, sinh	ہذلولی تفاعل، ہذلولی سائن	
hyperboloid	قطع زائد سطح	
hypergeometric function	بیش ہندسی تفاعل	
hypocycloid	فلک تدویر	
